Dose,nob,litter,Dam ID,NCL,implant NO,Dead,left,Fetus No,Sex,Wt1,Wt,Mal
0,35,3,68,14,11,0,0,11,M,1.054,1.054,0
0,36,3,68,14,12,0,0,12,M,0.921,0.921,0
0,37,3,68,14,13,0,0,13,F,0.874,0.874,0
0,38,4,69,14,1,0,1,1,F,0.999,0.999,0
0,39,4,69,14,2,0,1,,,,0,0
0,40,4,69,14,3,0,1,2,F,0.95,0.95,0
0,41,4,69,14,4,0,1,3,M,1.065,1.065,0
0,42,4,69,14,5,0,1,4,M,0.944,0.944,0
0,43,4,69,14,6,0,0,5,F,0.949,0.949,0
0,44,4,69,14,7,0,0,6,F,1.044,1.044,0
0,45,4,69,14,8,0,0,7,F,1.025,1.025,0
0,46,4,69,14,9,0,0,8,F,0.987,0.987,0
0,47,4,69,14,10,0,0,9,F,0.879,0.879,1
0,48,4,69,14,11,0,0,10,F,0.908,0.908,0
0,49,5,76,17,1,0,1,1,F,1.071,1.071,1
0,50,5,76,17,2,0,1,2,M,1.056,1.056,0
0,51,5,76,17,3,0,1,3,M,1.084,1.084,0
0,52,5,76,17,4,0,1,4,F,0.851,0.851,0
0,53,5,76,17,5,0,1,5,F,0.925,0.925,0
0,54,5,76,17,6,0,1,6,F,0.832,0.832,0
0,55,5,76,17,7,0,1,7,F,0.979,0.979,0
0,56,5,76,17,8,0,1,8,M,1.096,1.096,0
0,57,5,76,17,9,0,1,9,F,0.954,0.954,0
0,58,5,76,17,10,0,1,10,F,0.875,0.875,0
0,59,5,76,17,11,0,1,11,M,1.057,1.057,0
0,60,5,76,17,12,0,0,12,F,1.245,1.245,0
0,61,5,76,17,13,0,0,13,M,1.018,1.018,0
0,62,5,76,17,14,0,0,14,M,1.123,1.123,0
0,63,5,76,17,15,0,0,15,M,1.03,1.03,0
0,64,5,76,17,16,0,0,16,F,0.968,0.968,0
0,65,6,77,14,1,0,1,1,M,0.852,0.852,0
0,66,6,77,14,2,0,1,2,F,0.94,0.94,0
0,67,6,77,14,3,0,1,3,M,0.905,0.905,0
0,68,6,77,14,4,1,1,4,N,0.398,0.398,0
0,69,6,77,14,5,0,1,5,M,0.787,0.787,0
0,70,6,77,14,6,0,0,6,F,0.918,0.918,0
0,71,6,77,14,7,0,0,7,F,0.745,0.745,1
0,72,6,77,14,8,0,0,8,F,0.907,0.907,0
0,73,6,77,14,9,0,0,,,,0,0
0,74,6,77,14,10,0,0,9,M,0.818,0.818,0
0,75,6,77,14,11,0,0,10,F,0.896,0.896,0
0,76,6,77,14,12,0,0,11,F,0.858,0.858,0
0,77,6,77,14,13,0,0,12,M,0.935,0.935,0
0,78,6,77,14,14,0,0,13,F,0.669,0.669,0
0,79,6,77,14,15,0,0,14,M,0.93,0.93,0
0,80,6,77,14,16,0,0,15,M,0.89,0.89,0
0,81,7,84,14,1,0,1,1,F,0.983,0.983,0
0,82,7,84,14,2,0,1,,,,0,0
0,83,7,84,14,3,0,1,2,F,0.974,0.974,0
0,84,7,84,14,4,0,1,3,F,1.005,1.005,0
0,85,7,84,14,5,0,1,4,F,0.897,0.897,0
0,86,7,84,14,6,1,1,5,N,0.546,0.546,0
0,87,7,84,14,7,0,0,6,M,1.11,1.11,0
0,88,7,84,14,8,0,0,7,M,1.035,1.035,0
0,89,7,84,14,9,0,0,8,F,0.997,0.997,0
0,90,7,84,14,10,0,0,9,M,1.059,1.059,0
0,91,7,84,14,11,0,0,,,,0,0
0,92,7,84,14,12,0,0,10,F,1.067,1.067,0
0,93,7,84,14,13,0,0,11,F,0.911,0.911,0
0,94,8,85,14,1,0,1,1,F,1.122,1.122,0
0,95,8,85,14,2,0,1,2,F,1.134,1.134,0
0,96,8,85,14,3,0,1,3,M,1.117,1.117,0
0,97,8,85,14,4,0,1,4,F,0.999,0.999,0
0,98,8,85,14,5,0,1,5,M,1.2,1.2,0
0,99,8,85,14,6,0,1,6,M,1.154,1.154,0
0,100,8,85,14,7,0,1,7,M,1.077,1.077,0
0,101,8,85,14,8,0,1,8,F,0.98,0.98,0
0,102,8,85,14,9,0,0,9,F,0.989,0.989,0
0,103,8,85,14,10,0,0,10,M,1.161,1.161,0
0,104,8,85,14,11,0,0,11,M,1.101,1.101,0
0,105,8,85,14,12,0,0,12,F,1.153,1.153,0
0,106,9,93,14,1,0,1,1,F,1.051,1.051,0
0,107,9,93,14,2,0,1,2,M,1.082,1.082,0
0,108,9,93,14,3,0,1,3,F,1.062,1.062,0
0,109,9,93,14,4,0,1,4,F,0.955,0.955,0
0,110,9,93,14,5,0,1,5,M,1.095,1.095,0
0,111,9,93,14,6,0,0,6,F,0.994,0.994,0
0,112,9,93,14,7,0,0,7,M,1.093,1.093,0
0,113,9,93,14,8,0,0,8,M,1.002,1.002,0
0,114,9,93,14,9,0,0,9,M,1.038,1.038,0
0,115,9,93,14,10,0,0,10,M,1.084,1.084,0
0,116,9,93,14,11,0,0,11,F,1.026,1.026,0
0,117,10,100,11,1,0,1,,,,0,0
0,118,10,100,11,2,0,0,1,M,0.975,0.975,0
0,119,10,100,11,3,0,0,2,F,1.11,1.11,0
0,120,10,100,11,4,0,0,3,F,1.12,1.12,0
0,121,10,100,11,5,0,0,4,M,1.17,1.17,0
0,122,10,100,11,6,0,0,5,F,1.13,1.13,0
0,123,10,100,11,7,0,0,6,F,1.07,1.07,0
0,124,10,100,11,8,0,0,7,M,1.1,1.1,0
0,125,10,100,11,9,0,0,8,F,1.02,1.02,0
0,126,11,101,13,1,1,1,1,N,0.66,0.66,0
0,127,11,101,13,2,0,1,2,F,1.19,1.19,0
0,128,11,101,13,3,0,1,3,M,1.04,1.04,0
0,129,11,101,13,4,0,0,,,,0,0
0,130,11,101,13,5,0,0,4,F,0.821,0.821,0
0,131,11,101,13,6,0,0,,,,0,0
0,132,11,101,13,7,0,0,5,F,1.07,1.07,0
0,133,11,101,13,8,0,0,6,F,0.665,0.665,0
0,134,11,101,13,9,0,0,7,M,1.12,1.12,0
0,135,11,101,13,10,0,0,,,,0,0
0,136,11,101,13,11,0,0,,,,0,0
0,137,12,106,18,1,0,1,1,F,1.044,1.044,0
0,138,12,106,18,2,0,1,2,F,0.933,0.933,0
0,139,12,106,18,3,0,1,3,F,0.978,0.978,0
0,140,12,106,18,4,0,1,4,F,0.981,0.981,0
0,141,12,106,18,5,0,1,5,F,0.958,0.958,1
0,142,12,106,18,6,0,1,6,F,1.005,1.005,0
0,143,12,106,18,7,0,1,7,M,1.053,1.053,0
0,144,12,106,18,8,0,1,8,M,1.059,1.059,0
0,145,12,106,18,9,0,1,9,M,0.917,0.917,0
0,146,12,106,18,10,0,1,10,M,1.079,1.079,0
0,147,12,106,18,11,0,0,11,F,1.077,1.077,1
0,148,12,106,18,12,0,0,12,F,1.06,1.06,0
0,149,12,106,18,13,0,0,13,F,1.031,1.031,0
0,150,12,106,18,14,0,0,14,M,1.006,1.006,0
0,151,12,106,18,15,0,0,15,F,1.007,1.007,0
0,152,13,107,15,1,0,1,1,M,0.96,0.96,0
0,153,13,107,15,2,0,1,2,M,0.844,0.844,0
0,154,13,107,15,3,0,1,3,F,0.833,0.833,0
0,155,13,107,15,4,0,0,4,F,0.87,0.87,0
0,156,13,107,15,5,0,0,5,M,0.887,0.887,0
0,157,13,107,15,6,0,0,6,F,0.835,0.835,0
0,158,13,107,15,7,0,0,7,F,0.716,0.716,0
0,159,13,107,15,8,0,0,8,M,0.964,0.964,0
0,160,13,107,15,9,0,0,9,M,0.933,0.933,0
0,161,13,107,15,10,0,0,10,M,0.753,0.753,0
0,162,13,107,15,11,0,0,11,M,0.803,0.803,0
0,163,13,107,15,12,0,0,12,F,0.742,0.742,0
0,164,14,114,13,1,0,1,1,F,0.885,0.885,0
0,165,14,114,13,2,0,1,2,M,0.903,0.903,0
0,166,14,114,13,3,0,1,3,F,0.815,0.815,0
0,167,14,114,13,4,0,1,4,M,0.937,0.937,0
0,168,14,114,13,5,0,1,5,F,0.936,0.936,0
0,169,14,114,13,6,0,1,6,M,0.984,0.984,0
0,170,14,114,13,7,0,1,,,,0,0
0,171,14,114,13,8,0,1,7,M,0.835,0.835,0
0,172,14,114,13,9,0,1,8,M,0.954,0.954,0
0,173,14,114,13,10,0,0,9,F,0.89,0.89,0
0,174,14,114,13,11,0,0,10,F,0.93,0.93,0
0,175,14,114,13,12,0,0,,,,0,0
0,176,14,114,13,13,0,0,11,M,0.924,0.924,0
0,177,14,114,13,14,0,0,12,F,0.873,0.873,0
0,178,15,115,14,1,0,1,1,F,1.045,1.045,1
0,179,15,115,14,2,0,1,,,,0,0
0,180,15,115,14,3,0,1,2,M,1.087,1.087,0
0,181,15,115,14,4,0,1,3,M,1.021,1.021,0
0,182,15,115,14,5,0,1,4,M,0.999,0.999,0
0,183,15,115,14,6,0,1,5,F,0.908,0.908,0
0,184,15,115,14,7,0,0,6,F,1.027,1.027,0
0,185,15,115,14,8,0,0,7,F,1.041,1.041,0
0,186,15,115,14,9,0,0,8,F,0.968,0.968,0
0,187,15,115,14,10,0,0,9,M,0.971,0.971,0
0,188,15,115,14,11,0,0,10,F,1.029,1.029,0
0,189,15,115,14,12,0,0,,,,0,0
0,190,15,115,14,13,0,0,11,F,0.923,0.923,0
0,191,15,115,14,14,0,0,12,M,0.944,0.944,0
0,192,15,115,14,15,0,0,13,M,0.953,0.953,0
0,193,16,122,10,1,0,1,1,M,1.032,1.032,0
0,194,16,122,10,2,0,1,,,,0,0
0,195,16,122,10,3,0,1,2,M,1.045,1.045,0
0,196,16,122,10,4,0,1,3,M,0.967,0.967,0
0,197,16,122,10,5,0,1,4,M,1.065,1.065,0
0,198,16,122,10,6,0,1,5,M,0.981,0.981,0
0,199,16,122,10,7,0,0,6,F,0.964,0.964,0
0,200,16,122,10,8,0,0,7,M,1.08,1.08,0
0,201,16,122,10,9,0,0,8,M,1.1,1.1,0
0,202,16,122,10,10,0,0,9,F,0.994,0.994,0
0,203,16,122,10,11,0,0,10,F,0.949,0.949,0
0,204,17,123,15,1,0,1,,,,0,0
0,205,17,123,15,2,0,1,1,F,1.08,1.08,0
0,206,17,123,15,3,0,1,2,M,1.081,1.081,0
0,207,17,123,15,4,0,1,3,F,1.012,1.012,0
0,208,17,123,15,5,0,1,4,F,0.856,0.856,0
0,209,17,123,15,6,0,1,5,F,0.915,0.915,1
0,210,17,123,15,7,0,0,,,,0,0
0,211,17,123,15,8,0,0,6,F,0.952,0.952,0
0,212,17,123,15,9,0,0,,,,0,0
0,213,17,123,15,10,0,0,,,,0,0
0,214,17,123,15,11,0,0,7,F,0.983,0.983,0
0,215,17,123,15,12,0,0,,,,0,0
0,216,17,123,15,13,0,0,8,M,0.872,0.872,0
0,217,17,123,15,14,0,0,9,F,0.95,0.95,0
0,218,17,123,15,15,0,0,10,F,0.939,0.939,0
0,219,18,130,12,1,0,1,1,M,1.014,1.014,0
0,220,18,130,12,2,0,1,2,F,0.907,0.907,0
0,221,18,130,12,3,1,1,3,N,0.608,0.608,0
0,222,18,130,12,4,0,1,4,F,0.841,0.841,0
0,223,18,130,12,5,0,1,5,F,0.892,0.892,0
0,224,18,130,12,6,0,1,6,F,0.868,0.868,0
0,225,18,130,12,7,0,1,7,F,0.837,0.837,0
0,226,18,130,12,8,0,1,8,M,0.931,0.931,0
0,227,18,130,12,9,0,1,9,F,0.871,0.871,0
0,228,18,130,12,10,0,0,10,M,0.901,0.901,0
0,229,18,130,12,11,0,0,11,F,0.987,0.987,1
0,230,18,130,12,12,0,0,12,M,0.986,0.986,1
0,231,19,131,12,1,0,1,1,F,0.933,0.933,0
0,232,19,131,12,2,0,1,2,F,0.935,0.935,0
0,233,19,131,12,3,0,1,3,M,1.033,1.033,0
0,234,19,131,12,4,0,1,4,M,1.081,1.081,0
0,235,19,131,12,5,0,1,5,F,0.773,0.773,1
0,236,19,131,12,6,0,1,6,M,1.054,1.054,0
0,237,19,131,12,7,0,0,7,F,0.946,0.946,0
0,238,19,131,12,8,0,0,8,M,0.994,0.994,1
0,239,19,131,12,9,0,0,9,F,0.724,0.724,0
0,240,19,131,12,10,0,0,10,F,0.883,0.883,0
0,241,19,131,12,11,0,0,11,M,1.047,1.047,0
0,242,19,131,12,12,0,0,12,F,0.951,0.951,0
0,243,19,131,12,13,0,0,,,,0,0
0,244,20,138,13,1,0,1,1,M,0.806,0.806,0
0,245,20,138,13,2,0,1,2,F,0.858,0.858,0
0,246,20,138,13,3,0,1,3,F,0.815,0.815,0
0,247,20,138,13,4,0,1,4,M,0.914,0.914,0
0,248,20,138,13,5,0,1,5,F,0.841,0.841,0
0,249,20,138,13,6,0,1,6,F,0.866,0.866,0
0,250,20,138,13,7,0,1,7,F,0.792,0.792,0
0,251,20,138,13,8,0,1,8,F,0.773,0.773,0
0,252,20,138,13,9,0,0,9,M,0.882,0.882,0
0,253,20,138,13,10,0,0,10,F,0.887,0.887,1
0,254,20,138,13,11,0,0,11,M,0.847,0.847,0
0,255,20,138,13,12,0,0,12,M,1.035,1.035,0
0,256,20,138,13,13,0,0,13,F,0.918,0.918,0
0,257,21,139,16,1,1,1,1,N,0.392,0.392,0
0,258,21,139,16,2,0,1,2,F,0.886,0.886,0
0,259,21,139,16,3,0,1,3,F,0.923,0.923,0
0,260,21,139,16,4,0,1,4,M,1.027,1.027,0
0,261,21,139,16,5,0,1,5,M,0.991,0.991,0
0,262,21,139,16,6,0,1,,,,0,0
0,263,21,139,16,7,0,1,6,M,0.909,0.909,0
0,264,21,139,16,8,0,1,7,M,1.061,1.061,0
0,265,21,139,16,9,0,0,8,F,1.054,1.054,0
0,266,21,139,16,10,0,0,9,M,1.018,1.018,0
0,267,21,139,16,11,0,0,10,M,1.029,1.029,0
0,268,21,139,16,12,0,0,11,M,1.1,1.1,0
0,269,21,139,16,13,0,0,12,F,0.932,0.932,0
0,270,21,139,16,14,0,0,13,M,0.886,0.886,0
0,271,21,139,16,15,0,0,14,M,1.024,1.024,0
0,272,21,139,16,16,0,0,15,F,0.93,0.93,0
0,273,22,146,16,1,0,1,1,M,1.025,1.025,0
0,274,22,146,16,2,0,1,2,F,1.014,1.014,0
0,275,22,146,16,3,0,1,,,,0,0
0,276,22,146,16,4,0,1,3,F,0.954,0.954,0
0,277,22,146,16,5,0,1,4,M,1.081,1.081,0
0,278,22,146,16,6,0,1,5,F,0.967,0.967,0
0,279,22,146,16,7,0,1,6,F,0.912,0.912,0
0,280,22,146,16,8,0,0,,,,0,0
0,281,22,146,16,9,0,0,7,M,1.03,1.03,0
0,282,22,146,16,10,0,0,8,M,0.871,0.871,1
0,283,22,146,16,11,0,0,9,M,0.94,0.94,0
0,284,22,146,16,12,0,0,10,F,0.996,0.996,0
0,285,22,146,16,13,0,0,11,M,1.028,1.028,0
0,286,22,146,16,14,0,0,12,M,0.794,0.794,0
0,287,22,146,16,15,0,0,13,M,0.879,0.879,0
0,288,23,147,15,1,0,1,1,F,1.058,1.058,0
0,289,23,147,15,2,0,1,2,F,1.1,1.1,0
0,290,23,147,15,3,0,1,3,F,1.121,1.121,0
0,291,23,147,15,4,0,1,4,F,1.093,1.093,0
0,292,23,147,15,5,0,1,,,,0,0
0,293,23,147,15,6,0,1,5,M,1.017,1.017,0
0,294,23,147,15,7,0,1,,,,0,0
0,295,23,147,15,8,0,0,6,M,1.058,1.058,0
0,296,23,147,15,9,0,0,7,F,1.09,1.09,0
0,297,23,147,15,10,0,0,8,F,1.052,1.052,0
0,298,23,147,15,11,0,0,9,M,1.046,1.046,0
0,299,23,147,15,12,0,0,10,M,1.103,1.103,0
0,300,23,147,15,13,0,0,11,F,1.026,1.026,0
0,301,23,147,15,14,0,0,12,F,1.076,1.076,0
0,302,23,147,15,15,0,0,13,M,1.095,1.095,0
0,303,24,153,15,1,0,1,1,F,1.037,1.037,0
0,304,24,153,15,2,0,1,,,,0,0
0,305,24,153,15,3,0,1,2,M,0.987,0.987,0
0,306,24,153,15,4,0,1,3,F,1.025,1.025,0
0,307,24,153,15,5,0,1,4,M,0.967,0.967,0
0,308,24,153,15,6,0,0,5,F,0.785,0.785,0
0,309,24,153,15,7,1,0,6,M,0.303,0.303,0
0,310,24,153,15,8,0,0,7,M,0.861,0.861,0
0,311,24,153,15,9,0,0,8,F,0.893,0.893,0
0,312,24,153,15,10,0,0,,,,0,0
0,313,24,153,15,11,0,0,9,M,0.941,0.941,0
0,314,24,153,15,12,0,0,10,F,0.762,0.762,0
0,315,24,153,15,13,0,0,11,M,0.976,0.976,0
0,316,24,153,15,14,0,0,12,M,1.019,1.019,1
0,317,24,153,15,15,0,0,13,F,0.889,0.889,0
0,318,24,153,15,16,0,0,14,M,0.938,0.938,0
0,319,24,153,15,17,0,0,15,F,0.961,0.961,0
0,320,25,154,14,1,0,1,1,F,0.999,0.999,0
0,321,25,154,14,2,0,1,2,F,0.88,0.88,0
0,322,25,154,14,3,0,1,3,M,0.971,0.971,0
0,323,25,154,14,4,0,1,4,F,0.924,0.924,0
0,324,25,154,14,5,0,1,5,M,0.939,0.939,0
0,325,25,154,14,6,0,1,6,F,0.966,0.966,0
0,326,25,154,14,7,0,1,7,M,0.981,0.981,0
0,327,25,154,14,8,0,0,8,F,0.974,0.974,0
0,328,25,154,14,9,0,0,9,M,0.965,0.965,0
0,329,25,154,14,10,0,0,10,F,0.938,0.938,0
0,330,25,154,14,11,0,0,11,M,0.903,0.903,0
0,331,25,154,14,12,0,0,12,F,1.094,1.094,0
0,332,25,154,14,13,0,0,13,F,0.867,0.867,0
0,333,25,154,14,14,0,0,14,M,1.007,1.007,0
0.25,334,26,54,11,1,0,1,1,F,0.768,0.768,0
0.25,335,26,54,11,2,0,1,2,M,0.731,0.731,0
0.25,336,26,54,11,3,0,1,3,F,0.716,0.716,0
0.25,337,26,54,11,4,0,1,4,F,0.693,0.693,1
0.25,338,26,54,11,5,0,1,,,,0,0
0.25,339,26,54,11,6,0,1,5,F,0.769,0.769,0
0.25,340,26,54,11,7,0,0,6,F,0.731,0.731,0
0.25,341,26,54,11,8,0,0,7,M,0.791,0.791,0
0.25,342,26,54,11,9,0,0,8,M,0.765,0.765,1
0.25,343,26,54,11,10,0,0,9,M,0.611,0.611,1
0.25,344,26,54,11,11,0,0,10,F,0.745,0.745,0
0.25,345,27,59,17,1,0,1,,N,0.082,0.082,0
0.25,346,27,59,17,2,0,1,1,M,0.747,0.747,0
0.25,347,27,59,17,3,0,1,2,M,0.755,0.755,0
0.25,348,27,59,17,4,0,1,3,F,0.6,0.6,0
0.25,349,27,59,17,5,0,1,4,M,0.796,0.796,0
0.25,350,27,59,17,6,0,1,5,F,0.719,0.719,1
0.25,351,27,59,17,7,0,1,6,F,0.458,0.458,0
0.25,352,27,59,17,8,0,1,7,F,0.599,0.599,1
0.25,353,27,59,17,9,0,1,8,F,0.635,0.635,0
0.25,354,27,59,17,10,0,0,9,M,0.775,0.775,1
0.25,355,27,59,17,11,0,0,10,F,0.66,0.66,0
0.25,356,27,59,17,12,0,0,11,M,0.736,0.736,0
0.25,357,27,59,17,13,0,0,12,F,0.745,0.745,0
0.25,358,27,59,17,14,0,0,13,M,0.732,0.732,0
0.25,359,27,59,17,15,0,0,14,M,0.653,0.653,1
0.25,360,28,62,13,1,0,1,1,M,0.869,0.869,0
0.25,361,28,62,13,2,0,1,2,F,0.834,0.834,1
0.25,362,28,62,13,3,0,1,3,M,0.892,0.892,0
0.25,363,28,62,13,4,0,1,4,M,0.542,0.542,0
0.25,364,28,62,13,5,0,1,5,M,0.94,0.94,0
0.25,365,28,62,13,6,0,0,6,F,0.814,0.814,1
0.25,366,28,62,13,7,0,0,7,F,0.872,0.872,0
0.25,367,28,62,13,8,0,0,8,F,0.772,0.772,0
0.25,368,28,62,13,9,0,0,9,F,0.847,0.847,0
0.25,369,28,62,13,10,0,0,10,M,0.946,0.946,0
0.25,370,28,62,13,11,0,0,11,F,0.742,0.742,0
0.25,371,29,67,14,1,0,1,1,F,0.959,0.959,0
0.25,372,29,67,14,2,0,1,,,,0,0
0.25,373,29,67,14,3,0,1,2,F,0.931,0.931,0
0.25,374,29,67,14,4,0,1,3,F,0.967,0.967,0
0.25,375,29,67,14,5,0,1,4,F,0.851,0.851,0
0.25,376,29,67,14,6,0,1,5,F,1.061,1.061,0
0.25,377,29,67,14,7,0,1,6,F,0.866,0.866,0
0.25,378,29,67,14,8,0,1,7,F,0.838,0.838,0
0.25,379,29,67,14,9,0,1,8,M,0.911,0.911,1
0.25,380,29,67,14,10,0,1,9,F,0.885,0.885,0
0.25,381,29,67,14,11,0,0,10,M,1.041,1.041,0
0.25,382,29,67,14,12,0,0,11,F,0.94,0.94,0
0.25,383,29,67,14,13,0,0,12,F,0.951,0.951,0
0.25,384,30,70,12,1,0,1,1,F,0.836,0.836,0
0.25,385,30,70,12,2,0,1,2,M,0.897,0.897,0
0.25,386,30,70,12,3,0,1,,,,0,0
0.25,387,30,70,12,4,0,1,3,F,0.738,0.738,0
0.25,388,30,70,12,5,0,1,4,F,0.793,0.793,1
0.25,389,30,70,12,6,0,1,5,M,0.764,0.764,0
0.25,390,30,70,12,7,0,1,6,M,0.759,0.759,0
0.25,391,30,70,12,8,0,0,7,F,0.872,0.872,0
0.25,392,30,70,12,9,0,0,8,F,0.802,0.802,0
0.25,393,30,70,12,10,0,0,9,M,0.857,0.857,0
0.25,394,30,70,12,11,0,0,10,F,0.875,0.875,1
0.25,395,30,70,12,12,0,0,11,F,0.83,0.83,0
0.25,396,30,70,12,13,0,0,12,M,0.778,0.778,0
0.25,397,31,75,15,1,0,1,1,F,0.86,0.86,0
0.25,398,31,75,15,2,0,1,2,F,0.871,0.871,0
0.25,399,31,75,15,3,0,1,3,F,0.794,0.794,1
0.25,400,31,75,15,4,0,1,4,F,0.879,0.879,0
0.25,401,31,75,15,5,0,1,5,F,0.674,0.674,1
0.25,402,31,75,15,6,0,1,6,M,0.817,0.817,0
0.25,403,31,75,15,7,0,1,7,M,0.913,0.913,0
0.25,404,31,75,15,8,0,0,8,F,0.846,0.846,0
0.25,405,31,75,15,9,0,0,9,M,0.931,0.931,1
0.25,406,31,75,15,10,0,0,10,F,0.953,0.953,0
0.25,407,31,75,15,11,0,0,11,F,0.809,0.809,0
0.25,408,31,75,15,12,0,0,12,M,0.918,0.918,1
0.25,409,31,75,15,13,0,0,13,M,0.85,0.85,0
0.25,410,32,78,17,1,0,1,1,M,0.94,0.94,0
0.25,411,32,78,17,2,0,1,2,F,0.871,0.871,0
0.25,412,32,78,17,3,0,1,3,F,0.834,0.834,0
0.25,413,32,78,17,4,0,1,4,F,0.963,0.963,0
0.25,414,32,78,17,5,0,1,5,F,0.945,0.945,0
0.25,415,32,78,17,6,0,1,6,F,0.966,0.966,0
0.25,416,32,78,17,7,0,1,7,M,0.911,0.911,0
0.25,417,32,78,17,8,0,1,8,M,0.934,0.934,0
0.25,418,32,78,17,9,0,0,9,M,1.018,1.018,0
0.25,419,32,78,17,10,0,0,10,M,0.948,0.948,0
0.25,420,32,78,17,11,0,0,11,F,0.948,0.948,0
0.25,421,32,78,17,12,0,0,12,F,0.947,0.947,0
0.25,422,32,78,17,13,0,0,13,M,0.963,0.963,0
0.25,423,32,78,17,14,0,0,14,F,0.837,0.837,0
0.25,424,32,78,17,15,0,0,15,F,0.855,0.855,0
0.25,425,33,86,12,1,0,1,1,F,0.815,0.815,0
0.25,426,33,86,12,2,0,1,2,M,0.961,0.961,0
0.25,427,33,86,12,3,0,1,3,M,0.92,0.92,0
0.25,428,33,86,12,4,0,0,4,F,0.963,0.963,0
0.25,429,33,86,12,5,0,0,,,,0,0
0.25,430,33,86,12,6,0,0,5,F,0.812,0.812,0
0.25,431,33,86,12,7,0,0,6,M,0.96,0.96,0
0.25,432,33,86,12,8,0,0,7,M,0.982,0.982,0
0.25,433,33,86,12,9,0,0,8,F,0.966,0.966,0
0.25,434,33,86,12,10,0,0,9,M,0.874,0.874,0
0.25,435,33,86,12,11,0,0,10,F,0.854,0.854,0
0.25,436,33,86,12,12,0,0,11,F,0.9,0.9,0
0.25,437,34,91,13,1,0,1,1,F,0.943,0.943,0
0.25,438,34,91,13,2,1,1,2,N,0.754,0.754,0
0.25,439,34,91,13,3,0,1,3,F,0.898,0.898,0
0.25,440,34,91,13,4,0,1,4,F,0.895,0.895,0
0.25,441,34,91,13,5,0,0,5,F,0.938,0.938,0
0.25,442,34,91,13,6,0,0,,,,0,0
0.25,443,34,91,13,7,0,0,,N,0.263,0.263,0
0.25,444,34,91,13,8,0,0,6,F,0.87,0.87,0
0.25,445,34,91,13,9,0,0,,,,0,0
0.25,446,34,91,13,10,0,0,,,,0,0
0.25,447,34,91,13,11,0,0,7,F,0.878,0.878,0
0.25,448,34,91,13,12,0,0,8,F,0.849,0.849,0
0.25,449,34,91,13,13,0,0,9,M,0.802,0.802,1
0.25,450,35,99,16,1,0,1,1,F,1.01,1.01,0
0.25,451,35,99,16,2,0,1,2,F,1.053,1.053,0
0.25,452,35,99,16,3,0,1,3,F,1.006,1.006,0
0.25,453,35,99,16,4,0,1,4,F,0.961,0.961,0
0.25,454,35,99,16,5,0,1,5,M,1.043,1.043,0
0.25,455,35,99,16,6,0,1,6,F,0.984,0.984,0
0.25,456,35,99,16,7,0,0,,,,0,0
0.25,457,35,99,16,8,0,0,7,F,1.034,1.034,0
0.25,458,35,99,16,9,0,0,8,M,1.031,1.031,0
0.25,459,35,99,16,10,0,0,9,F,0.894,0.894,0
0.25,460,35,99,16,11,0,0,10,F,1.004,1.004,0
0.25,461,35,99,16,12,0,0,,,,0,0
0.25,462,35,99,16,13,0,0,,,,0,0
0.25,463,35,99,16,14,0,0,,,,0,0
